|Net ID|Course|Film title|Transcoded File Name|Call Num|Order to Process|na|Status of Request|Date needed|Main Feature Language|Subtitles|Library|Prior use|(N/A)|Notes|Request or Decline|Which Course Management System are you using?|Please specify the subtitle language||
8/15/2012 14:39:37|pmartin|FA12-ROFR-27500-SS01|Vipère au poing|D02302_Viper_in_The_Fist_Vipere_Au_Poing_(FrechWithEngSubs).mov||2|2|Completed|9/1/2012|French|Yes|Yes|No||D 02302|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:42:01|pmartin|FA12-ROFR-27500-SS01|Western|V02877_Western_(FrenchWithEnglSubs).mov||2|2|Completed|9/1/2012|English|Yes|Yes|No||V 02877 (Library has what I believe is a new copy of the VHS tape ... I have a personal DVD copy if that proves more helpful.|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:53:02|pmartin|CSEM 23101-07|Monsieur Ibrahim et les fleurs du Coran|D02770_Monsieur_Ibrahim(FrenchWithEngSubs).mov||3|3|Completed|9/28/2012|French|Yes|Yes|No||D 02770|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:54:22|pmartin|CSEM 23101-07|Water|D04951_Water_(HindiWithEngSubs).mov||3|3|Completed|9/28/2012|Hindi|Yes|Yes|No||D 04951|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:56:06|pmartin|CSEM 23101-07|Pollock|D03552_Pollock.mov||3|3|Completed|9/28/2012|English|No|Yes|No||D 03552|Yes - I'll enter titles now|Concourse in Sakai|None||
8/15/2012 17:51:23|mnoriega|ROSP 27500-04|The Official Story |HistoriaOficial.mov||1|1|Completed|8/28/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/15/2012 17:55:04|mnoriega|ROSP 27500-04|Under the Same Moon|LaMismaLuna_UnderTheSameMoon.mov||2|2|Completed|9/7/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/15/2012 17:56:14|mnoriega|ROSP 27500-04|Maria Full of Grace|MariaFullOfGrace.mov||2|2|Completed|9/14/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/15/2012 17:57:36|mnoriega|ROSP 27500-04|Machuca|Machuca(SpanishNoSubtitles).mov and/or Machuca(SpanishWithEnglishSubtitles).mov||2|2|Completed|9/14/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/15/2012 18:00:05|mnoriega|ROSP 27500-04|Motorcycle Diaries|MotorcycleDiaries.mov||3|3|Completed|9/20/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/15/2012 18:01:01|mnoriega|ROSP 27500-04|Guantanamera|Guantanamera.mov||2|2|Completed|9/14/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/15/2012 18:05:41|mnoriega|ROSP 27500-04|Tear my Heart Out Arrancame la vida|ArrancameLaVida.mov||4|4|Completed|10/2/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 0:45:59|mbrownst|LLEA 30413-01|Japan: The Living Tradition--Early Japan, pt. 1 |JapanLivingTradition_EarlyJapan1.mov||1|1|Completed|8/22/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 0:47:52|mbrownst|LLEA 30413-01|Japan: The Living Tradition--Early Japan, pt. 2|JapanLivingTradition_EarlyJapan2.mov||1|1|Completed|8/22/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 0:56:02|mbrownst|LLEA 13186.01|The Coming of the Barbarians|V01739_Japan_Past_And_Present_Coming_Of_The_Barbarians.mov||1|1||8/22/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 8:26:59|ikim1|PSY 43364|Unnatural Causes: In Sickness and in Wealth (Episode 1)|D04943_Unnatural_Causes_Episode1_In_Sickness_and_In_Wealth.mov||1|1|Completed|8/28/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/16/2012 8:28:44|ikim1|PSY 43364|"Unnatural Causes: ""When the bough breaks"""|D04943_Unnatural_Causes_Episode2_When_the_Bough_Breaks.mov||||Completed|11/6/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/16/2012 11:06:31|amagnanp|FTT13182 SEC 2|HEROES OF THE EAST|HeroesOfTheEast.mov||1|1|Completed|8/27/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:07:27|Amagnanp|FTT13182 SEC 2|THE NEW ONE-ARMED SWORDSMAN|NewOneArmedSwordsman.mov||2|2|Completed|9/3/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:08:02|amagnanp|FTT13182 SEC 2|CROUCHING TIGER, HIDDEN DRAGON|CrouchingTigerHiddenDragon.mov||2|2|Completed|9/10/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:08:28|Amagnanp|FTT13182 SEC 2|HEROES OF THE EAST|HeroesOfTheEast.mov||3|3|Completed|9/24/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:09:01|amagnanp|FTT13182 SEC 2|FIST OF FURY/THE CHINESE CONNECTION|FistofFury.mov||5|5|Completed|10/29/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:09:31|Amagnanp|FTT13182 SEC 2|36TH CHAMBER OF SHAOLIN|36thChamberShaolin.mov||6|6|Completed|11/5/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:09:58|amagnanp|FTT13182 SEC 2|THE TUXEDO|Tuxedo.mov||6|6|Completed|11/12/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:13:23|Amagnanp|FTT13182 SEC 2|Act of Valor |ActOfValor.mov||1|1|Completed|8/27/2012|English|No|No|No||on order (Using professors Copy for now)|Yes - I'll enter titles now|Concourse in Sakai|N/A||
8/16/2012 11:14:07|amagnanp|FTT40901|300|300.mov||2|2|Completed|9/3/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:14:34|amagnanp|fTT40901|Spartacus|D04389_Spartacus.mov||2|2|Completed|9/10/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:15:04|amagnanp|fTT40901|The Warlords|D01677_TheWarlords(MandarineWithEnglishSubtitles)Part1of2.mov D01677_TheWarlords(MandarineWithEnglishSubtitles)Part2of2.mov||3|3|Completed|9/17/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:16:12|amagnanp|fTT40901|Samurai II: Duel at Ichijoji Temple Temple|D02989_v2_Samurai_2_DuelAtIchijojiTemple(JapaneseWithEnglishSubtitles).mov||3|3|Completed|9/24/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:16:36|amagnanp|fTT40901|Les Visiteurs|D05773_LesVisiteurs_TheVisitors(FrenchWithEnglishSubtitles).mov||5|5|Completed|10/22/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:17:27|amagnanp|fTT40901|The Duelists|Duelist.mov||5|5|Completed|10/29/2012|English|No|No|Not sure||On order.|Yes - I'll enter titles now|Concourse in Sakai|N/A||
8/16/2012 11:17:49|amagnanp|fTT40901|Shane|Shane.mov||6|6|Completed|11/5/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:18:12|amagnanp|fTT40901|To Hell and Back|D03623_ToHellAndBack.mov||6|6|Completed|11/12/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/16/2012 11:20:49|tanders6|LLRO 13186-03|Voces Inocentes|D04828_VocesInocentes_InnocentVoices(SpanishWithEnglishSubtitles).mov||1|1|Completed|8/28/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/16/2012 11:22:22|tanders6|LLRO 13186-03|Cautiva (Captive)|Cautiva.mov||4|4||10/1/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/16/2012 11:23:31|tanders6|LLRO 13186-03|La historia de Maria (Maria's Story)|MariasStory.mov||1|1|Completed|8/30/2012||||Yes|||Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|||
8/16/2012 11:24:07|tanders6|LLRO 13186-03|When the Mountains Tremble|WhenTheMountainsTremble.mov||2|2||9/2/2012||||Yes|||Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|||
8/16/2012 11:24:48|tanders6|LLRO 13186-03|Paloma de Papel (Paper Dove)|PalomaDePapel.mov||3|3||9/15/2012||||Yes|||Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|||
8/16/2012 11:29:04|tanders6|LLRO 13186-03|State of Fear (Pamela Yates New Day Films 2005)|StateOfFear.mov||3|3||9/20/2012|Spanish|Yes|Yes|No||Notre Dame, Hesburgh Library Audio Center DVD (D 08274 )|Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|English||
8/16/2012 11:30:37|tanders6|LLRO 13186-03|La boca del lobo|LaBocaDelLobo.mov||2|2||9/10/2012|Spanish|Yes|Yes|No||Notre Dame, Hesburgh Library Audio Center DVD (D 09460 )|Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|English||
8/16/2012 11:32:10|tanders6|LLRO 13186-03|Devil's Miner|DevilsMiner.mov||3|3||9/25/2012|Spanish|Yes|Yes|Not sure||Notre Dame, Hesburgh Library Audio Center DVD (D 08604 )|Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|English||
8/16/2012 11:33:51|tanders6|LLRO 13186-03|Nuestros desaparecidos (Our Disappeared)|NuestrosDesaparecidos.mov||3|3||9/20/2012|Spanish|Yes|Yes|No||Notre Dame, Hesburgh Library Audio Center DVD (D 08538 )|Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|English||
8/16/2012 11:36:24|tanders6|LLRO 13186-03|Chile Obstinate Memory|V03448_Chile_Obstinate_memory.mov||4|4||10/1/2012|Spanish|Yes|Yes|No|| ST MARY's has DVD, ND does not.  This may have been made available for other ND class Saint Mary's College Audio Visual Collection (F 3100 .C45 DVD )|Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|English||
8/16/2012 11:38:56|tanders6|LLRO 13186-03|Eyes on the Prize Disc 1 (Awakenings and Fighting Back) and 2|||5|5||10/15/2012||||Yes|||Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|||
8/16/2012 11:41:51|tanders6|LLRO 13186-03|Balseros (Boat People)|D02706_Balseros(SpanishWithEnglishSubtitles).mov||5|5||10/15/2012||||Yes|||Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|||
8/16/2012 11:44:09|tanders6|LLRO 13186-03|Denial|D09967_Denial.mov|D09967|1|1|Completed|8/30/2012|Spanish|Yes|Yes|No||Notre Dame, Hesburgh Library Audio Center DVD (D 09967 )|Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|English||
8/16/2012 11:48:33|tanders6|LLRO 13186-03|Rojo amanecer (Red Dawn)|D09978_Rojo Amanecer.mov||4|4||10/1/2012|Spanish|Yes|Yes|No||Notre Dame, Hesburgh Library Audio Center DVD (D 09978 )|Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|English||
8/16/2012 11:56:34|tanders6|LLRO 13186-03|Price of Sugar|PriceOfSugar.mov||5|5||10/15/2012||||Yes|||Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|||
8/16/2012 12:04:41|tanders6|LLRO 13186-03|Crude|D03735_Crude.mov||3|3||9/20/2012|Spanish|Yes|Yes|No||Notre Dame, Hesburgh Library Audio Center DVD (D 03735 )|Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|English||
8/16/2012 12:21:13|tanders6|LLRO 13186-03|Men with Guns|MenWithGuns.mov||2|2||9/10/2012|Spanish|Yes|Yes|No||Notre Dame, Hesburgh Library Audio Center DVD (D 06334 )|Yes - I'll enter titles now|Both Concourse and Concourse in Sakai|English||
8/16/2012 15:26:55|itorranc |CLAS 30025-01|The Others|Others.mov||1|1|Completed|8/21/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/16/2012 15:29:49|itorranc |CLAS 30025-01|O Brother Where Art thou|OBrotherWhereArtThou.mov||2|2||9/11/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/17/2012 10:42:05|wjackson|FTT 40413-01 (19106)|Metropolis|D04457_The_Complete_Metropolis.mov||1|1|Completed|8/21/2012|English|No|Yes|No||I would like the version with the bonus material-  Stills and design info included.|Yes - I'll enter titles now|Concourse in Sakai|none||
8/17/2012 10:46:10|wjackson|FTT 40413-01 (19106) |Modern Times|D01700_Modern_Times.mov||1|1|Completed|8/21/2012|English|No|Yes|No||Criterion Collection version Record No ndu_aleph002702869|Yes - I'll enter titles now|Concourse in Sakai|none||
8/17/2012 10:46:36|gsieber|FTT30462|House Explosion|WNDU_House_Explosion_InValparaiso.mov and WNDU_HouseExplosion_ClayTownship.mov||3|3|Completed|9/15/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/17/2012 10:47:32|gsieber|FTT30462|Wallaby Escape|WNDU_Wallaby_Escape.mov||3|3|Completed|9/30/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/17/2012 10:48:04|gsieber|FTT30462|WNIT Fire|WNDU_Fire_At_WNIT.mov||2|2|Completed|9/15/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/17/2012 15:37:18|sohmer|FTT 40501|Primary |D00387_Primary.mov||2|2|Completed|9/6/2012|English|No|Yes|No||DVD D 00387  |Yes - I'll enter titles now|Concourse in Sakai|No subtitles| it is in English|
8/17/2012 15:38:16|sohmer|FTT 40501|Journeys with George|D00241_Journeys_With_George.mov||2|2|Completed|9/6/2012|English|No|Yes|No||DVD 00241  Full screen presentation|Yes - I'll enter titles now|Concourse in Sakai|None||
8/17/2012 15:38:16|sohmer|FTT 40501|All the President's Men|D05511_All_The_Presidents_Men.mov||4|4|Completed|10/2/2012|English|No|Yes|No||DVD 05511  WIDESCREEN PRESENTATION, please|Yes - I'll enter titles now|Concourse in Sakai|none||
